ligand	receptor	ligand.name	receptor.name	ligand.synonyms	receptor.synonyms	ligand.altern.names	receptor.altern.names	source	PMIDs	cells.L	cells.R	remarks
A2M	LRP1	Alpha-2-macroglobulin	Prolow-density lipoprotein receptor-related protein 1	CPAMD5,FWP007	A2MR,APR	Alpha-2-M || C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5	LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD)	fantom5,HPMR,HPRD	10652313	""	""	""
AANAT	MTNR1A	Serotonin N-acetyltransferase	Melatonin receptor type 1A	SNAT	""	Serotonin acetylase || EC 2.3.1.87 || Aralkylamine N-acetyltransferase || AA-NAT	Mel-1A-R || Mel1a receptor	fantom5,HPMR	12943195	""	""	""
AANAT	MTNR1B	Serotonin N-acetyltransferase	Melatonin receptor type 1B	SNAT	""	Serotonin acetylase || EC 2.3.1.87 || Aralkylamine N-acetyltransferase || AA-NAT	Mel-1B-R || Mel1b receptor	fantom5,HPMR	12943195	""	""	""
ACE	AGTR2	Angiotensin-converting enzyme	Type-2 angiotensin II receptor	DCP,DCP1	""	ACE || EC 3.2.1.- || EC 3.4.15.1 || Dipeptidyl carboxypeptidase I || Kininase II || CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form	Angiotensin II type-2 receptor || AT2	HPRD,fantom5	11459796	""	""	""
ACE	BDKRB2	Angiotensin-converting enzyme	B2 bradykinin receptor	DCP,DCP1	BKR2	ACE || EC 3.2.1.- || EC 3.4.15.1 || Dipeptidyl carboxypeptidase I || Kininase II || CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form	B2R || BK-2 receptor	HPRD,fantom5	10748135	""	""	""
ACTR2	ADRB2	Actin-related protein 2	Beta-2 adrenergic receptor	ARP2	ADRB2R,B2AR	Actin-like protein 2	Beta-2 adrenoreceptor || Beta-2 adrenoceptor	reactome	""	""	""	""
ACTR2	LDLR	Actin-related protein 2	Low-density lipoprotein receptor	ARP2	""	Actin-like protein 2	LDL receptor	reactome	""	""	""	""
ACTR2	LRP2	Actin-related protein 2	Low-density lipoprotein receptor-related protein 2	ARP2	""	Actin-like protein 2	LRP-2 || Glycoprotein 330 || gp330 || Megalin	reactome	""	""	""	""
ADAM10	AXL	Disintegrin and metalloproteinase domain-containing protein 10	Tyrosine-protein kinase receptor UFO	KUZ,MADM	UFO	ADAM 10 || EC 3.4.24.81 || CDw156 || Kuzbanian protein homolog || Mammalian disintegrin-metalloprotease || CD antigen CD156c	EC 2.7.10.1 || AXL oncogene	fantom5,HPRD	7822279	""	""	""
ADAM10	EPHA3	Disintegrin and metalloproteinase domain-containing protein 10	Ephrin type-A receptor 3	KUZ,MADM	ETK,ETK1,HEK,TYRO4	ADAM 10 || EC 3.4.24.81 || CDw156 || Kuzbanian protein homolog || Mammalian disintegrin-metalloprotease || CD antigen CD156c	EC 2.7.10.1 || EPH-like kinase 4 || EK4 || hEK4 || HEK || Human embryo kinase || Tyrosine-protein kinase TYRO4 || Tyrosine-protein kinase receptor ETK1 || Eph-like tyrosine kinase 1	fantom5,HPRD	16239146	""	""	""
ADAM12	ITGA9	Disintegrin and metalloproteinase domain-containing protein 12	Integrin alpha-9	MLTN,UNQ346/PRO545	""	ADAM 12 || EC 3.4.24.- || Meltrin-alpha	Integrin alpha-RLC	HPMR,fantom5	10944520	""	""	""
ADAM12	ITGB1	Disintegrin and metalloproteinase domain-containing protein 12	Integrin beta-1	MLTN,UNQ346/PRO545	FNRB,MDF2,MSK12	ADAM 12 || EC 3.4.24.- || Meltrin-alpha	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	HPMR,fantom5	10944520	""	""	""
ADAM12	SDC4	Disintegrin and metalloproteinase domain-containing protein 12	Syndecan-4	MLTN,UNQ346/PRO545	""	ADAM 12 || EC 3.4.24.- || Meltrin-alpha	SYND4 || Amphiglycan || Ryudocan core protein	fantom5,HPMR	12509413	""	""	""
